2026-04-07T08:20:05: 
2026-04-07T08:20:05: > siapi-maintenance@1.0.0 start
2026-04-07T08:20:05: > npx serve public -p 5012 -s
2026-04-07T08:20:05: 
2026-04-07T08:20:11:  INFO  Accepting connections at http://localhost:5012
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 GET /favicon.ico
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 GET /
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 Returned 200 in 3 ms
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 GET /logokma.png
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 Returned 304 in 2 ms
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 GET /favicon.ico
2026-04-07T10:04:57:  HTTP  4/7/2026 10:04:57 AM ::1 Returned 200 in 1 ms
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 GET /
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 GET /logokma.png
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 Returned 304 in 0 ms
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 GET /favicon.ico
2026-04-07T10:05:02:  HTTP  4/7/2026 10:05:02 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 GET /
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 Returned 200 in 2 ms
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 GET /logokma.png
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 Returned 304 in 2 ms
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 GET /favicon.ico
2026-04-07T10:05:03:  HTTP  4/7/2026 10:05:03 AM ::1 Returned 200 in 1 ms
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 GET /
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 Returned 200 in 3 ms
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 GET /logokma.png
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 Returned 304 in 2 ms
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 GET /favicon.ico
2026-04-07T10:05:08:  HTTP  4/7/2026 10:05:08 AM ::1 Returned 200 in 2 ms
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 GET /
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 Returned 304 in 2 ms
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 GET /logokma.png
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 Returned 304 in 2 ms
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 GET /favicon.ico
2026-04-07T10:05:09:  HTTP  4/7/2026 10:05:09 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 GET /
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 Returned 200 in 2 ms
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 GET /logokma.png
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 Returned 304 in 2 ms
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 GET /favicon.ico
2026-04-07T10:05:12:  HTTP  4/7/2026 10:05:12 AM ::1 Returned 200 in 1 ms
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 GET /
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 GET /logokma.png
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 GET /favicon.ico
2026-04-07T10:05:13:  HTTP  4/7/2026 10:05:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 GET /
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 Returned 200 in 2 ms
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 GET /logokma.png
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 Returned 304 in 1 ms
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 GET /favicon.ico
2026-04-07T10:05:45:  HTTP  4/7/2026 10:05:45 AM ::1 Returned 200 in 1 ms
2026-04-07T10:21:07:  HTTP  4/7/2026 10:21:07 AM ::1 GET /
2026-04-07T10:21:07:  HTTP  4/7/2026 10:21:07 AM ::1 Returned 200 in 7 ms
2026-04-07T10:21:07:  HTTP  4/7/2026 10:21:07 AM ::1 GET /logokma.png
2026-04-07T10:21:07:  HTTP  4/7/2026 10:21:07 AM ::1 Returned 304 in 1 ms
2026-04-07T10:21:08:  HTTP  4/7/2026 10:21:08 AM ::1 GET /favicon.ico
2026-04-07T10:21:08:  HTTP  4/7/2026 10:21:08 AM ::1 Returned 200 in 2 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 1 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /logokma.png
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 1 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /favicon.ico
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /logokma.png
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 1 ms
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 GET /favicon.ico
2026-04-07T10:21:09:  HTTP  4/7/2026 10:21:09 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 GET /
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 GET /logokma.png
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 Returned 304 in 0 ms
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 GET /favicon.ico
2026-04-07T10:21:57:  HTTP  4/7/2026 10:21:57 AM ::1 Returned 304 in 3 ms
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 GET /
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 GET /logokma.png
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 Returned 304 in 2 ms
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 GET /favicon.ico
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 Returned 200 in 2 ms
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 GET /
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 Returned 200 in 2 ms
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 GET /logokma.png
2026-04-07T10:21:58:  HTTP  4/7/2026 10:21:58 AM ::1 Returned 304 in 1 ms
2026-04-07T10:21:59:  HTTP  4/7/2026 10:21:59 AM ::1 GET /favicon.ico
2026-04-07T10:21:59:  HTTP  4/7/2026 10:21:59 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 GET /
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 GET /logokma.png
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 GET /favicon.ico
2026-04-07T10:22:10:  HTTP  4/7/2026 10:22:10 AM ::1 Returned 304 in 7 ms
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 GET /
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 GET /logokma.png
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 GET /favicon.ico
2026-04-07T10:22:11:  HTTP  4/7/2026 10:22:11 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 3 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /logokma.png
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /favicon.ico
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /logokma.png
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 GET /favicon.ico
2026-04-07T10:22:12:  HTTP  4/7/2026 10:22:12 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /logokma.png
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /favicon.ico
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /logokma.png
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 GET /favicon.ico
2026-04-07T10:22:13:  HTTP  4/7/2026 10:22:13 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /logokma.png
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 3 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /favicon.ico
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /logokma.png
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 GET /favicon.ico
2026-04-07T10:22:14:  HTTP  4/7/2026 10:22:14 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /logokma.png
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /favicon.ico
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /logokma.png
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /favicon.ico
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 2 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 GET /logokma.png
2026-04-07T10:22:15:  HTTP  4/7/2026 10:22:15 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:16:  HTTP  4/7/2026 10:22:16 AM ::1 GET /favicon.ico
2026-04-07T10:22:16:  HTTP  4/7/2026 10:22:16 AM ::1 Returned 304 in 1 ms
2026-04-07T10:22:53:  HTTP  4/7/2026 10:22:53 AM ::1 GET /
2026-04-07T10:22:53:  HTTP  4/7/2026 10:22:53 AM ::1 Returned 200 in 2 ms
2026-04-07T10:22:53:  HTTP  4/7/2026 10:22:53 AM ::1 GET /logokma.png
2026-04-07T10:22:53:  HTTP  4/7/2026 10:22:53 AM ::1 Returned 200 in 1 ms
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 GET /
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 Returned 304 in 2 ms
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 GET /logokma.png
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 Returned 304 in 1 ms
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 GET /favicon.ico
2026-04-07T10:23:42:  HTTP  4/7/2026 10:23:42 AM ::1 Returned 304 in 2 ms
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 GET /
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 Returned 304 in 1 ms
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 GET /logokma.png
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 Returned 304 in 1 ms
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 GET /favicon.ico
2026-04-07T10:23:43:  HTTP  4/7/2026 10:23:43 AM ::1 Returned 304 in 1 ms
2026-04-07T10:23:44:  HTTP  4/7/2026 10:23:44 AM ::1 GET /
2026-04-07T10:23:44:  HTTP  4/7/2026 10:23:44 AM ::1 Returned 304 in 1 ms
2026-04-07T10:23:45:  HTTP  4/7/2026 10:23:45 AM ::1 GET /logokma.png
2026-04-07T10:23:45:  HTTP  4/7/2026 10:23:45 AM ::1 Returned 304 in 2 ms
2026-04-07T10:23:45:  HTTP  4/7/2026 10:23:45 AM ::1 GET /favicon.ico
2026-04-07T10:23:45:  HTTP  4/7/2026 10:23:45 AM ::1 Returned 304 in 2 ms
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 GET /
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 Returned 200 in 2 ms
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 GET /logokma.png
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 Returned 304 in 1 ms
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 GET /favicon.ico
2026-04-07T10:24:39:  HTTP  4/7/2026 10:24:39 AM ::1 Returned 200 in 2 ms
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 GET /
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 Returned 200 in 2 ms
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 GET /logokma.png
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 Returned 304 in 1 ms
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 GET /favicon.ico
2026-04-07T10:24:55:  HTTP  4/7/2026 10:24:55 AM ::1 Returned 200 in 2 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 1 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /logokma.png
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 1 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /favicon.ico
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 1 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 2 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /logokma.png
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 2 ms
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 GET /favicon.ico
2026-04-07T10:24:56:  HTTP  4/7/2026 10:24:56 AM ::1 Returned 304 in 2 ms
2026-04-07T10:25:06:  HTTP  4/7/2026 10:25:06 AM ::1 GET /
2026-04-07T10:25:06:  HTTP  4/7/2026 10:25:06 AM ::1 Returned 200 in 2 ms
2026-04-07T10:25:06:  HTTP  4/7/2026 10:25:06 AM ::1 GET /logokma.png
2026-04-07T10:25:06:  HTTP  4/7/2026 10:25:06 AM ::1 Returned 304 in 1 ms
2026-04-07T10:25:07:  HTTP  4/7/2026 10:25:07 AM ::1 GET /favicon.ico
2026-04-07T10:25:07:  HTTP  4/7/2026 10:25:07 AM ::1 Returned 200 in 2 ms
2026-04-07T10:25:07:  HTTP  4/7/2026 10:25:07 AM ::1 GET /
2026-04-07T10:25:07:  HTTP  4/7/2026 10:25:07 AM ::1 Returned 304 in 1 ms
2026-04-07T10:25:07:  HTTP  4/7/2026 10:25:07 AM ::1 GET /logokma.png
